
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
02:2C:DC:03:82:02, 2014-02-25 02:08:02, 2014-02-25 02:30:55,  6,  54, OPN ,       ,   ,  -1,        9,        0,   0.  0.  0.  0,  17, HP-nomodel.2B564A, 
04:C5:A4:92:5A:83, 2014-02-25 02:07:43, 2014-02-25 02:30:55,  6,  54, OPN ,       ,   , -53,      171,        0,   0.  0.  0.  0,   6, nyupda, 
46:94:FC:40:A9:CD, 2014-02-25 02:09:48, 2014-02-25 02:30:55,  6,  54, WPA2, CCMP,PSK, -83,       11,        0,   0.  0.  0.  0,  17, Perri'sCrib-Guest, 
58:6D:8F:53:50:84, 2014-02-25 02:08:50, 2014-02-25 02:30:54, 11,  54, WPA , TKIP,PSK, -85,       15,        0,   0.  0.  0.  0,   6, Colman, 
00:14:BF:F7:BC:37, 2014-02-25 02:08:01, 2014-02-25 02:30:55,  6,  54, WPA2, CCMP,PSK, -85,       17,        0,   0.  0.  0.  0,   5, pfnet, 
D8:30:62:2F:16:15, 2014-02-25 02:26:34, 2014-02-25 02:30:55,  6,  54, WPA2, CCMP,PSK, -86,        3,        0,   0.  0.  0.  0,  12, JonH Network, 
20:4E:7F:2F:E3:E2, 2014-02-25 02:08:18, 2014-02-25 02:30:52,  4,  54, WPA2, CCMP,PSK, -88,        4,        0,   0.  0.  0.  0,   6, avanti, 
58:6D:8F:2D:D6:C0, 2014-02-25 02:26:44, 2014-02-25 02:30:44, 11,  54, WPA2WPA , CCMP TKIP,PSK, -79,        8,        0,   0.  0.  0.  0,   4, jabo, 
C0:C1:C0:96:5C:D3, 2014-02-25 02:07:43, 2014-02-25 02:30:45,  6,  54, WPA2, CCMP,PSK, -87,       60,       39,   0.  0.  0.  0,   5, Frank, 
00:25:00:FF:94:73, 2014-02-25 02:07:39, 2014-02-25 02:30:35, -1,  -1,     ,       ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
04:C5:A4:81:E8:C0, 2014-02-25 02:10:43, 2014-02-25 02:30:35,  6,  54, WPA2WPA OPN , CCMP TKIP, MGT, -74,       23,        6,   0.  0.  0.  0,   3, nyu, 
