
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:8E:F2:5B:8F:50, 2014-02-25 01:16:52, 2014-02-25 01:26:09,  3,  54, WPA2, CCMP,PSK, -89,       15,        0,   0.  0.  0.  0,   9, NETGEAR08, 
28:C6:8E:81:D2:CD, 2014-02-25 01:15:48, 2014-02-25 01:25:46,  7,  54, WPA2, CCMP,PSK, -89,       12,        0,   0.  0.  0.  0,   6, 300 5E, 
00:80:48:6E:4D:49, 2014-02-25 01:25:36, 2014-02-25 01:25:39,  3,  54, WPA2WPA , CCMP TKIP,PSK, -76,        3,        1,   0.  0.  0.  0,  11, U10-322-048, 
48:F8:B3:0D:85:3F, 2014-02-25 01:18:06, 2014-02-25 01:24:50, 10,  54, WPA2WPA , CCMP TKIP,PSK, -88,        2,        0,   0.  0.  0.  0,   5, JBLC7, 
28:CF:DA:BA:D7:C5, 2014-02-25 01:22:58, 2014-02-25 01:24:09, 10,  54, WPA2, CCMP,PSK, -91,        2,        0,   0.  0.  0.  0,  21, Ilisa's Wi-Fi Network, 
04:C5:A4:81:E8:C3, 2014-02-25 01:16:16, 2014-02-25 01:22:10,  6,  54, OPN ,       ,   , -82,        6,        0,   0.  0.  0.  0,   6, nyupda, 
00:1C:DF:F3:D1:39, 2014-02-25 01:17:17, 2014-02-25 01:21:29, 11,  54, WEP , WEP,   , -93,        1,        0,   0.  0.  0.  0,   3, CAP, 
00:1D:D4:90:21:C0, 2014-02-25 01:17:12, 2014-02-25 01:20:27,  9,  54, WPA2, CCMP TKIP,PSK, -89,       10,        0,   0.  0.  0.  0,   8, DG860AC2, 
46:94:FC:40:A9:CD, 2014-02-25 01:18:29, 2014-02-25 01:19:29,  6,  54, WPA2, CCMP,PSK, -89,        2,        0,   0.  0.  0.  0,  17, Perri'sCrib-Guest, 
04:C5:A4:92:4D:21, 2014-02-25 01:17:27, 2014-02-25 01:18:49, 11,  54, OPN ,       ,   , -85,        2,        0,   0.  0.  0.  0,   8, nyuguest, 
02:26:C6:71:11:6D, 2014-02-25 01:18:16, 2014-02-25 01:18:26, 10,  11, OPN ,       ,   ,  -1,        2,        0,   0.  0.  0.  0,   8, HP89DEA6, 
04:C5:A4:81:E8:C2, 2014-02-25 01:16:26, 2014-02-25 01:18:28,  6,  54, OPN ,       ,   , -82,        4,        0,   0.  0.  0.  0,   9, NYU-ROAM3, 
44:94:FC:40:A9:CC, 2014-02-25 01:16:06, 2014-02-25 01:18:29,  6,  54, WPA2, CCMP,PSK, -92,        2,        0,   0.  0.  0.  0,  11, Perri'sCrib, 
00:25:9C:D4:5E:57, 2014-02-25 01:15:46, 2014-02-25 01:18:19,  6,  54, WPA2WPA , CCMP TKIP,PSK, -90,        8,        0,   0.  0.  0.  0,   7, linksys, 
04:C5:A4:92:55:F0, 2014-02-25 01:15:55, 2014-02-25 01:18:09, 128,  -1, WPA ,       ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
04:C5:A4:92:5A:70, 2014-02-25 01:16:00, 2014-02-25 01:18:00, 113,  -1, OPN ,       ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
48:F8:B3:3E:96:C9, 2014-02-25 01:16:57, 2014-02-25 01:17:58, 11,  54, OPN ,       ,   , -89,        4,        0,   0.  0.  0.  0,  11, Dylan-guest, 
00:21:29:87:1D:FB, 2014-02-25 01:16:47, 2014-02-25 01:17:58, 11,  54, WPA2, CCMP,PSK, -90,        4,        0,   0.  0.  0.  0,   8, bluebusi, 
04:C5:A4:92:4D:23, 2014-02-25 01:17:07, 2014-02-25 01:17:37, 11,  54, OPN ,       ,   , -84,        2,        0,   0.  0.  0.  0,   6, nyupda, 
00:23:69:CC:68:37, 2014-02-25 01:15:46, 2014-02-25 01:16:57,  6,  54, WPA2WPA , CCMP TKIP,PSK, -92,        2,        0,   0.  0.  0.  0,   3, MKB, 
68:7F:74:A7:D6:D2, 2014-02-25 01:15:58, 2014-02-25 01:15:58, 108,  -1,     ,       ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
D6:3C:70:AA:77:B1, 2014-02-25 01:18:51, 2014-02-25 01:19:31,  1,  11, WEP , WEP,   ,  -1,        3,        0,   0.  0.  0.  0,   7, MP41671, 
04:C5:A4:92:74:70, 2014-02-25 01:17:07, 2014-02-25 01:19:51, 133,  -1,     ,       ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
04:C5:A4:92:4F:11, 2014-02-25 01:16:16, 2014-02-25 01:21:01,  6,  54, OPN ,       ,   , -83,        3,        0,   0.  0.  0.  0,   8, nyuguest, 
04:C5:A4:81:E8:C1, 2014-02-25 01:17:58, 2014-02-25 01:21:01,  6,  54, OPN ,       ,   , -81,        5,        0,   0.  0.  0.  0,   8, nyuguest, 
2C:B0:5D:2E:5B:68, 2014-02-25 01:15:58, 2014-02-25 01:21:31,  1,  54, WPA2, CCMP,PSK, -91,        4,        0,   0.  0.  0.  0,   2, 9G, 
